geneID	proteinID	ARO	taxon	weight
AEI83429.1	gb|AEI83429.1|ARO:3001168|SHV-121	ARO:3001168	Klebsiella pneumoniae	1
AAA99503.1	gb|AAA99503.1|ARO:3003250|bcrC	ARO:3003250	Bacillus licheniformis	1
AXA30439.1	gb|AXA30439.1|ARO:3002459|LEN-9	ARO:3002459	Klebsiella variicola	1
BAF80809.1	gb|BAF80809.1|ARO:3002665|npmA	ARO:3002665	Escherichia coli	1
CAP12354.2	gb|CAP12354.2|ARO:3002429|OKP-A-12	ARO:3002429	Klebsiella pneumoniae	1
AAF66653.1	gb|AAF66653.1|ARO:3000959|TEM-92	ARO:3000959	Proteus mirabilis	1
AHA80101.1	gb|AHA80101.1|ARO:3002112|CMY-100	ARO:3002112	Citrobacter freundii	1
BAD06399.1	gb|BAD06399.1|ARO:3002332|GES-3	ARO:3002332	Klebsiella pneumoniae	1
AAO42602.1	gb|AAO42602.1|ARO:3002168|MIR-2	ARO:3002168	Enterobacter cloacae	1
WP_063860086.1	gb|WP_063860086.1|ARO:3001948|CTX-M-88	ARO:3001948	Escherichia coli	1
ABW70410.1	gb|ABW70410.1|ARO:3001644|OXA-113	ARO:3001644	Acinetobacter baumannii	1
CAJ19611.1	gb|CAJ19611.1|ARO:3002436|OKP-B-3	ARO:3002436	Klebsiella pneumoniae	1
AAL20862.1	gb|AAL20862.1|ARO:3000826|sdiA	ARO:3000826	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	1
AIY30331.1	gb|AIY30331.1|ARO:3003160|OXA-422	ARO:3003160	Acinetobacter baumannii	1
ADI58622.1	gb|ADI58622.1|ARO:3001472|OXA-178	ARO:3001472	Acinetobacter baumannii	1
CAD69003.1	gb|CAD69003.1|ARO:3003094|imiH	ARO:3003094	Aeromonas hydrophila	1
CAP12349.2	gb|CAP12349.2|ARO:3002468|LEN-21	ARO:3002468	Klebsiella pneumoniae	1
AHE41345.1	gb|AHE41345.1|ARO:3002797|QnrS8	ARO:3002797	Klebsiella pneumoniae	1
AEP16366.1	gb|AEP16366.1|ARO:3001784|OXA-181	ARO:3001784	Klebsiella pneumoniae	1
AHM76779.1	gb|AHM76779.1|ARO:3001840|ACT-19	ARO:3001840	Enterobacter cloacae	1
AEI83430.1	gb|AEI83430.1|ARO:3001181|SHV-137	ARO:3001181	Klebsiella pneumoniae	1
ABC26007.1	gb|ABC26007.1|ARO:3001623|OXA-83	ARO:3001623	Acinetobacter baumannii	1
AIT76086.1	gb|AIT76086.1|ARO:3001850|ACT-30	ARO:3001850	Enterobacter cloacae	1
AFQ23958.1	gb|AFQ23958.1|ARO:3001191|SHV-152	ARO:3001191	Klebsiella pneumoniae	1
AAA98406.1	gb|AAA98406.1|ARO:3001404|OXA-9	ARO:3001404	Klebsiella pneumoniae	1
CCK86744.1	gb|CCK86744.1|ARO:3001347|SHV-164	ARO:3001347	Klebsiella pneumoniae	1
AAM77075.1	gb|AAM77075.1|ARO:3002695|cmlA5	ARO:3002695	uncultured bacterium	1
BAL72196.1	gb|BAL72196.1|ARO:3001985|CTX-M-126	ARO:3001985	Escherichia coli	1
ABQ00181.1	gb|ABQ00181.1|ARO:3001024|TEM-158	ARO:3001024	Escherichia coli	1
CAJ19618.1	gb|CAJ19618.1|ARO:3002442|OKP-B-9	ARO:3002442	Klebsiella pneumoniae	1
CAM96571.1	gb|CAM96571.1|ARO:3004605|ermZ	ARO:3004605	Streptomyces ambofaciens	1
AAA76822.1	gb|AAA76822.1|ARO:3002654|APH(3')-VIIa	ARO:3002654	Campylobacter jejuni	1
AAB58447.1	gb|AAB58447.1|ARO:3002662|APH(9)-Ia	ARO:3002662	Legionella pneumophila 130b	1
ACX31142.1	gb|ACX31142.1|ARO:3001455|OXA-150	ARO:3001455	Acinetobacter baumannii	1
AAZ66866.1	gb|AAZ66866.1|ARO:3002032|CMY-21	ARO:3002032	Escherichia coli	1
AJG06172.1	gb|AJG06172.1|ARO:3003172|ACT-37	ARO:3003172	Enterobacter cloacae	1
CCA94644.1	gb|CCA94644.1|ARO:3001486|OXA-208	ARO:3001486	Acinetobacter baumannii	1
CAA66307.2	gb|CAA66307.2|ARO:3000592|ErmN	ARO:3000592	Streptomyces fradiae	1
AEI52842.1	gb|AEI52842.1|ARO:3002078|CMY-65	ARO:3002078	Citrobacter sp. 913	1
AAS13759.1	gb|AAS13759.1|ARO:3002278|VIM-8	ARO:3002278	Pseudomonas aeruginosa	1
CAI99385.1	gb|CAI99385.1|ARO:3002856|dfrA24	ARO:3002856	Escherichia coli	1
AAL05553.1	gb|AAL05553.1|ARO:3003206|lsaE	ARO:3003206	Enterococcus faecalis	1
ADE58494.1	gb|ADE58494.1|ARO:3001175|SHV-128	ARO:3001175	Enterobacter cloacae	1
ABX72042.1	gb|ABX72042.1|ARO:3002727|QnrB13	ARO:3002727	Citrobacter freundii	1
CAD32565.1	gb|CAD32565.1|ARO:3001770|OXA-43	ARO:3001770	Burkholderia pseudomallei	1
ACT97371.1	gb|ACT97371.1|ARO:3003097|CfxA6	ARO:3003097	uncultured organism	1
AAD50818.2	gb|AAD50818.2|ARO:3002019|CMY-8	ARO:3002019	Klebsiella pneumoniae	1
CAP12348.2	gb|CAP12348.2|ARO:3002467|LEN-20	ARO:3002467	Klebsiella pneumoniae	1
CAA75402.1	gb|CAA75402.1|ARO:3002015|CMY-4	ARO:3002015	Proteus mirabilis	1
AEL00458.1	gb|AEL00458.1|ARO:3002751|QnrB36	ARO:3002751	Citrobacter freundii	1
ACO56763.1	gb|ACO56763.1|ARO:3002376|VEB-7	ARO:3002376	Acinetobacter baumannii	1
ADI58618.1	gb|ADI58618.1|ARO:3001658|OXA-174	ARO:3001658	Acinetobacter baumannii	1
CAJ19610.1	gb|CAJ19610.1|ARO:3002435|OKP-B-2	ARO:3002435	Klebsiella pneumoniae	1
BAB16308.1	gb|BAB16308.1|ARO:3000958|TEM-91	ARO:3000958	Escherichia coli	1
CAA71441.1	gb|CAA71441.1|ARO:3003095|imiS	ARO:3003095	Aeromonas veronii	1
AEM44650.1	gb|AEM44650.1|ARO:3001967|CTX-M-107	ARO:3001967	Shigella sp. SH219	1
